I1,I2,N
1,311,3
2,289,8
2,242,2
2,275,2
2,278,2
2,311,6
2,185,4
2,94,2
3,5,1
4,304,2
4,75,2
5,32,1
5,139,8
5,5,2
5,75,1
5,78,3
5,303,5
5,311,5
7,280,1
7,259,1
7,300,1
8,32,5
8,289,1
8,258,2
8,259,2
8,133,1
8,263,1
8,8,1
8,266,1
8,139,1
8,240,2
8,296,1
8,311,13
8,88,2
8,31,3
11,16,3
11,240,3
11,152,1
12,194,2
12,126,2
12,77,1
14,311,2
16,267,1
16,311,2
17,128,5
17,171,2
17,263,4
17,139,3
17,140,1
17,142,2
17,143,1
17,281,2
17,28,1
17,29,2
17,287,3
17,42,2
17,43,2
17,306,1
17,31,1
17,72,2
17,75,1
17,77,2
17,214,2
17,215,1
17,135,2
17,223,1
17,224,3
17,97,1
18,194,1
18,139,3
18,258,1
18,240,3
18,311,2
19,128,4
19,258,4
19,260,1
19,135,1
19,136,1
19,137,1
19,266,1
19,139,4
19,140,3
19,13,2
19,14,3
19,143,7
19,144,1
19,19,11
19,132,2
19,155,1
19,31,13
19,32,18
19,33,1
19,291,1
19,166,1
19,42,1
19,172,2
19,302,1
19,303,8
19,305,1
19,311,14
19,185,2
19,61,1
19,192,1
19,65,3
19,71,2
19,72,2
19,74,1
19,75,4
19,77,18
19,86,1
19,215,1
19,91,1
19,94,1
19,95,4
19,224,2
19,272,1
19,100,2
19,101,1
19,231,2
19,104,2
19,105,2
19,240,9
19,242,1
19,244,1
19,246,1
19,119,1
19,252,1
19,298,1
21,19,6
22,32,4
22,137,1
22,31,1
25,304,3
26,19,2
27,240,1
28,194,2
28,291,1
28,139,1
28,43,2
28,274,2
28,242,1
28,276,2
28,165,1
29,34,5
29,230,3
29,303,1
29,48,1
29,311,5
30,296,2
30,42,2
30,139,2
30,305,2
30,311,2
31,258,1
31,259,4
31,139,7
31,274,4
31,19,1
31,22,1
31,287,1
31,32,6
31,290,3
31,37,2
31,169,4
31,43,3
31,300,4
31,308,2
31,311,23
31,57,2
31,31,3
31,62,2
31,288,3
31,73,2
31,76,2
31,77,4
31,78,4
31,80,2
31,213,2
31,89,2
31,223,4
31,228,2
31,234,4
31,111,2
31,240,6
31,244,2
31,131,2
31,123,3
31,252,2
32,311,1
32,75,5
32,139,9
32,31,3
33,194,2
33,34,4
34,3,1
34,291,2
34,41,2
34,266,2
34,43,5
34,269,1
34,270,1
34,19,2
34,276,2
34,85,1
34,278,1
34,311,3
34,84,1
34,91,1
34,284,1
34,189,1
34,287,2
35,225,1
35,194,5
35,139,4
35,36,1
35,166,9
35,167,2
35,169,8
35,279,2
35,240,1
35,49,2
35,211,4
35,126,4
35,311,3
35,90,2
36,128,1
36,65,1
36,131,1
36,198,1
36,32,10
36,199,4
36,76,4
36,240,4
36,303,4
36,16,3
36,212,1
36,213,1
36,311,5
36,156,1
36,31,6
37,194,2
37,311,4
38,32,2
38,259,8
38,39,1
38,296,3
38,234,1
38,143,1
38,144,1
38,311,2
39,128,3
39,129,1
39,130,5
39,131,4
39,134,1
39,193,2
39,9,1
39,138,1
39,139,19
39,258,1
39,143,16
39,272,2
39,274,2
39,147,2
39,284,2
39,157,4
39,7,3
39,31,2
39,32,9
39,289,4
39,291,1
39,244,1
39,166,5
39,39,4
39,168,2
39,169,1
39,42,2
39,135,1
39,303,5
39,304,9
39,311,7
39,184,1
39,57,2
39,95,2
39,10,1
39,215,2
39,192,2
39,65,4
39,194,1
39,67,6
39,69,2
39,33,1
39,73,2
39,75,8
39,76,6
39,77,7
39,141,1
39,80,11
39,82,2
39,227,2
39,86,30
39,87,16
39,88,4
39,219,4
39,122,3
39,223,2
39,224,1
39,16,2
39,226,1
39,99,4
39,102,1
39,259,4
39,234,1
39,240,14
39,241,4
39,83,1
39,204,2
39,126,3
39,118,2
39,120,2
39,121,3
39,250,2
39,251,1
39,144,1
40,303,1
40,292,1
40,311,4
41,128,2
41,258,2
41,134,2
41,139,5
41,274,1
41,19,2
41,26,2
41,156,3
41,30,3
41,159,3
41,32,2
41,293,1
41,43,3
41,302,5
41,311,4
41,57,2
41,31,3
41,190,2
41,194,3
41,69,2
41,55,2
41,76,2
41,78,3
41,80,5
41,210,6
41,224,3
41,225,2
41,100,2
41,240,6
41,241,2
42,256,2
42,259,4
42,132,2
42,140,2
42,143,1
42,144,1
42,274,1
42,276,1
42,277,1
42,278,1
42,156,1
42,286,2
42,32,4
42,162,2
42,295,2
42,296,2
42,43,6
42,46,2
42,303,4
42,177,1
42,311,3
42,184,1
42,58,3
42,61,2
42,190,3
42,191,2
42,80,2
42,210,1
42,211,1
42,84,1
42,216,2
42,94,2
42,99,2
42,106,1
42,236,1
42,240,5
