I1,I2,N
1,311,3
3,5,1
5,5,2
8,8,1
11,16,3
11,240,3
18,194,1
19,13,2
19,14,3
19,303,5
19,242,1
19,19,11
19,311,2
19,95,4
21,19,6
26,19,2
27,240,1
29,34,5
29,303,1
29,230,3
29,311,5
31,139,5
32,311,1
32,75,5
32,139,9
32,31,3
33,194,2
33,34,4
34,19,2
35,225,1
35,194,5
35,311,1
37,194,2
38,234,1
38,259,4
38,39,1
39,304,4
39,139,4
39,143,4
41,31,1
42,259,4
43,192,3
43,139,4
43,43,1
43,45,1
43,47,3
43,311,6
44,194,3
44,45,2
44,78,2
44,143,5
44,311,1
45,194,5
45,45,8
47,194,3
47,44,1
48,160,3
48,49,1
49,303,4
50,143,3
53,156,9
55,194,3
55,139,1
55,311,2
57,152,5
57,303,5
57,311,6
58,194,1
61,139,3
62,303,1
64,139,5
65,194,1
65,139,3
65,172,3
65,78,3
65,143,2
65,156,1
68,68,4
69,194,15
69,311,4
70,311,3
71,274,3
72,101,1
73,73,1
73,194,5
74,274,3
74,171,5
74,70,5
74,311,2
75,194,2
75,259,1
75,75,4
75,111,1
75,240,1
75,311,7
75,303,2
76,240,4
76,194,17
76,197,3
76,167,5
76,296,1
76,76,1
76,77,3
76,78,1
76,80,6
76,126,4
76,311,4
77,194,7
77,167,1
77,45,2
77,78,6
77,77,6
77,240,4
77,311,15
77,61,2
78,194,3
78,101,3
78,169,2
78,75,4
78,78,9
78,303,4
78,80,11
78,311,1
79,80,34
79,194,5
79,167,2
79,77,5
79,78,20
79,143,1
79,240,2
79,274,4
79,311,3
79,314,1
80,194,9
80,167,1
80,78,3
80,80,11
80,213,3
80,311,7
80,253,1
82,306,4
83,16,2
84,90,3
84,84,3
84,194,1
86,194,1
86,303,2
86,87,16
88,139,2
90,58,5
90,94,5
92,92,1
93,303,4
93,267,4
93,311,5
94,152,2
94,303,1
95,152,3
98,146,4
99,240,4
99,99,2
100,194,2
101,75,3
101,126,5
102,158,4
103,194,2
103,18,3
104,259,5
105,143,5
111,111,5
118,274,1
118,246,1
118,303,3
119,128,6
119,90,1
119,303,6
126,194,5
126,259,4
126,240,3
126,311,2
126,90,1
126,126,3
128,128,5
128,80,5
128,194,13
128,139,9
128,101,5
128,198,5
128,169,2
128,171,1
128,77,3
128,78,3
128,240,33
128,34,4
128,75,8
128,19,2
128,126,5
128,311,1
128,125,2
129,110,4
130,194,18
130,131,3
130,130,9
131,130,17
131,131,30
131,171,5
131,194,7
131,143,1
131,75,7
131,243,2
131,311,4
132,75,1
133,192,4
133,194,4
133,42,2
133,240,4
133,311,4
134,128,3
134,194,3
134,146,4
135,215,4
135,135,1
136,169,1
137,139,10
137,78,5
137,143,5
139,256,1
139,130,1
139,131,9
139,9,4
139,139,55
139,142,5
139,143,1
139,156,6
139,31,1
139,198,4
139,166,1
139,42,3
139,43,2
139,172,1
139,303,2
139,304,3
139,305,1
139,311,8
139,58,1
139,192,1
139,194,15
139,267,1
139,70,5
139,75,2
139,76,2
139,77,2
139,78,2
139,80,5
139,211,1
139,216,1
139,126,5
139,250,2
139,253,1
140,139,8
140,143,4
141,289,6
142,80,1
142,194,5
142,139,3
142,143,8
143,225,2
143,194,8
143,171,2
143,169,3
143,138,1
143,139,12
143,130,2
143,110,1
143,143,15
143,80,5
143,311,2
143,250,2
143,303,2
144,194,6
144,139,9
144,77,1
144,80,2
144,311,1
144,126,6
146,311,1
147,147,6
150,139,2
152,256,1
152,143,1
153,153,2
154,152,1
155,226,5
156,152,5
158,158,2
159,198,6
160,305,6
160,194,6
162,303,1
165,165,5
165,143,2
166,101,4
166,167,13
166,169,14
166,139,4
166,307,4
166,311,7
167,167,1
168,168,1
169,169,2
169,139,6
169,311,3
171,273,1
171,75,4
171,171,4
172,194,5
172,156,4
173,130,5
173,102,5
178,45,3
184,311,1
185,185,4
187,187,1
188,188,1
189,191,3
190,311,5
192,192,4
192,194,5
192,198,2
